SZ000792,盐湖股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600522,中天科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ301162,国能日新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600141,兴发集团,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH601899,紫金矿业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002645,华宏科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH601390,中国中铁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002266,浙富控股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603993,洛阳钼业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH688156,路德环境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH601088,中国神华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600188,兖矿能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH601225,陕西煤业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH601898,中煤能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600519,贵州茅台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000858,五粮液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000568,泸州老窖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002304,洋河股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600809,山西汾酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600779,水井坊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000596,古进贡酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000799,酒鬼酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600702,舍得酒业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600132,重庆啤酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600600,青岛啤酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000729,燕京啤酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603288,海天味业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600872,中炬高新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600305,恒顺醋业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600887,伊利股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600597,光明乳业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ001318,阳光乳业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603517,绝味食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002557,洽洽食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002601,龙佰集团,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002145,中核钛白,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002407,多氟多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300343,联创股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000525,红太阳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600309,万华化学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002326,永太科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300446,乐凯新材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603077,和邦生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002709,天赐材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000683,远兴能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600078,ST澄星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600096,云天化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600596,新安股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000422,湖北宜化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002493,荣盛石化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600389,江山股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600470,六国化工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ000545,金浦钛业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002455,百川股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH688981,中芯国际,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002371,北方华创,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603501,韦尔股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ002049,紫光国微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603986,兆易创新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH688012,中微公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH688396,华润微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600460,士兰微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300782,卓胜微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH603290,斯达半导,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300661,圣邦股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH605358,立昂微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300223,北京君正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600584,长电科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300373,扬杰科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH605111,新洁能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH600745,闻泰科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300671,富满微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH688536,思瑞浦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ300458,全志科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
